year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes,votes_to_win
1912,NEVADA,NV,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,7986,3196,5620,D,T,True,3,7986,5620,1184,531,266,433,8,90,16802,
1912,NEW HAMPSHIRE,NH,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,34724,32927,17794,D,T,True,4,34724,17794,8466,531,266,433,8,90,85445,
1912,NEW JERSEY,NJ,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,178289,88835,145410,D,T,True,14,178289,145410,16440,531,266,433,8,90,412534,
1912,NEW MEXICO,NM,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,20437,17733,8347,D,T,True,3,20437,8347,6046,531,266,433,8,90,46517,
1912,NEW YORK,NY,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,655573,455487,390093,D,T,True,45,655573,390093,132741,531,266,433,8,90,1501153,
1912,NORTH CAROLINA,NC,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,133021,29139,69130,D,T,True,12,133021,69130,31946,531,266,433,8,90,231290,
1912,NORTH DAKOTA,ND,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,29555,23090,25726,D,T,True,5,29555,25726,1915,531,266,433,8,90,78371,
1912,OHIO,OH,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,424834,278168,229807,D,T,True,24,424834,229807,97514,531,266,433,8,90,932809,
1912,OKLAHOMA,OK,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,119156,90786,41674,D,T,True,10,119156,41674,38742,531,266,433,8,90,251616,
1912,OREGON,OR,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,47064,34673,37600,D,T,True,5,47064,37600,4733,531,266,433,8,90,119337,
1912,PENNSYLVANIA,PA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,395637,273360,444894,D,T,False,38,444894,444894,1,531,266,433,8,90,1113891,
1912,RHODE ISLAND,RI,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,30412,27703,16878,D,T,True,5,30412,16878,6768,531,266,433,8,90,74993,
1912,SOUTH CAROLINA,SC,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,48357,0,1293,D,T,True,9,48357,1293,23533,531,266,433,8,90,49650,
1912,SOUTH DAKOTA,SD,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,48942,0,58811,D,T,False,5,58811,58811,1,531,266,433,8,90,107753,
1912,TENNESSEE,TN,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,133021,60475,54041,D,T,True,12,133021,54041,39491,531,266,433,8,90,247537,
