year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1980,WASHINGTON,WA,1742394,"CARTER, JIMMY","REAGAN, RONALD",650193,865244,865244,650193,107526,R,,0.0,0.0,0.0,R
1980,WEST VIRGINIA,WV,737715,"CARTER, JIMMY","REAGAN, RONALD",367462,334206,367462,334206,16629,D,,0.0,0.0,0.0,R
1980,WISCONSIN,WI,2273221,"CARTER, JIMMY","REAGAN, RONALD",981584,1088845,1088845,981584,53631,R,,0.0,0.0,0.0,R
1980,WYOMING,WY,176713,"CARTER, JIMMY","REAGAN, RONALD",49427,110700,110700,49427,30637,R,,0.0,0.0,0.0,R
1984,ALABAMA,AL,1441713,"MONDALE, WALTER","REAGAN, RONALD",551899,872849,872849,551899,160476,R,,0.0,0.0,0.0,R
1984,ALASKA,AK,207605,"MONDALE, WALTER","REAGAN, RONALD",62007,138377,138377,62007,38186,R,,0.0,0.0,0.0,R
1984,ARIZONA,AZ,1025897,"MONDALE, WALTER","REAGAN, RONALD",333854,681416,681416,333854,173782,R,,0.0,0.0,0.0,R
1984,ARKANSAS,AR,884406,"MONDALE, WALTER","REAGAN, RONALD",338646,534774,534774,338646,98065,R,,0.0,0.0,0.0,R
1984,CALIFORNIA,CA,9505041,"MONDALE, WALTER","REAGAN, RONALD",3922519,5467009,5467009,3922519,772246,R,,0.0,0.0,0.0,R
1984,COLORADO,CO,1295380,"MONDALE, WALTER","REAGAN, RONALD",454975,821817,821817,454975,183422,R,,0.0,0.0,0.0,R
1984,CONNECTICUT,CT,1466900,"MONDALE, WALTER","REAGAN, RONALD",569597,890877,890877,569597,160641,R,,0.0,0.0,0.0,R
1984,DELAWARE,DE,254572,"MONDALE, WALTER","REAGAN, RONALD",101656,152190,152190,101656,25268,R,,0.0,0.0,0.0,R
1984,DISTRICT OF COLUMBIA,DC,211288,"MONDALE, WALTER","REAGAN, RONALD",180408,29009,180408,29009,75700,D,,0.0,0.0,0.0,R
1984,FLORIDA,FL,4180051,"MONDALE, WALTER","REAGAN, RONALD",1448816,2730350,2730350,1448816,640768,R,,0.0,0.0,0.0,R
1984,GEORGIA,GA,1776103,"MONDALE, WALTER","REAGAN, RONALD",706628,1068722,1068722,706628,181048,R,,0.0,0.0,0.0,R
1984,HAWAII,HI,335846,"MONDALE, WALTER","REAGAN, RONALD",147154,185050,185050,147154,18949,R,,0.0,0.0,0.0,R
1984,IDAHO,ID,411144,"MONDALE, WALTER","REAGAN, RONALD",108510,297523,297523,108510,94507,R,,0.0,0.0,0.0,R
