year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1920,NORTH CAROLINA,NC,James M. Cox,Warren G. Harding,,D,305447,232848,0,R,D,False,12,232848,305447,0,531,266,121,410,0,538295
1920,NORTH DAKOTA,ND,James M. Cox,Warren G. Harding,,R,37422,160072,0,R,D,True,5,160072,37422,61326,531,266,121,410,0,197494
1920,OHIO,OH,James M. Cox,Warren G. Harding,,R,780037,1182022,0,R,D,True,24,1182022,780037,200993,531,266,121,410,0,1962059
1920,OKLAHOMA,OK,James M. Cox,Warren G. Harding,,R,217053,243831,25726,R,D,True,10,243831,217053,13390,531,266,121,410,0,486610
1920,OREGON,OR,James M. Cox,Warren G. Harding,,R,80019,143592,0,R,D,True,5,143592,80019,31787,531,266,121,410,0,223611
1920,PENNSYLVANIA,PA,James M. Cox,Warren G. Harding,,R,503843,1218216,0,R,D,True,38,1218216,503843,357187,531,266,121,410,0,1722059
1920,RHODE ISLAND,RI,James M. Cox,Warren G. Harding,,R,55062,107463,0,R,D,True,5,107463,55062,26201,531,266,121,410,0,162525
1920,SOUTH CAROLINA,SC,James M. Cox,Warren G. Harding,,D,64170,2610,0,R,D,False,9,2610,64170,0,531,266,121,410,0,66780
1920,SOUTH DAKOTA,SD,James M. Cox,Warren G. Harding,,R,35938,110692,34707,R,D,True,5,110692,35938,37378,531,266,121,410,0,181337
1920,TENNESSEE,TN,James M. Cox,Warren G. Harding,,R,206558,219829,0,R,D,True,12,219829,206558,6636,531,266,121,410,0,426387
1920,TEXAS,TX,James M. Cox,Warren G. Harding,,D,288767,114538,47968,R,D,False,20,114538,288767,0,531,266,121,410,0,451273
1920,UTAH,UT,James M. Cox,Warren G. Harding,,R,56639,81555,0,R,D,True,4,81555,56639,12459,531,266,121,410,0,138194
1920,VERMONT,VT,James M. Cox,Warren G. Harding,,R,20919,68212,0,R,D,True,4,68212,20919,23647,531,266,121,410,0,89131
1920,VIRGINIA,VA,James M. Cox,Warren G. Harding,,D,141670,87456,0,R,D,False,12,87456,141670,0,531,266,121,410,0,229126
1920,WASHINGTON,WA,James M. Cox,Warren G. Harding,,R,84298,223137,77246,R,D,True,7,223137,84298,69420,531,266,121,410,0,384681
1920,WEST VIRGINIA,WV,James M. Cox,Warren G. Harding,,R,220789,282007,0,R,D,True,8,282007,220789,30610,531,266,121,410,0,502796
1920,WISCONSIN,WI,James M. Cox,Warren G. Harding,,R,113422,498576,80635,R,D,True,13,498576,113422,192578,531,266,121,410,0,692633
1920,WYOMING,WY,James M. Cox,Warren G. Harding,,R,17429,35091,0,R,D,True,3,35091,17429,8832,531,266,121,410,0,52520
1924,ALABAMA,AL,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,112966,45005,0,R,D,False,12,45005,112966,0,531,266,130,388,0,157971
1924,ARIZONA,AZ,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,26235,30516,17210,R,D,True,3,30516,26235,2141,531,266,130,388,0,73961
1924,ARKANSAS,AR,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,84790,40583,13167,R,D,False,9,40583,84790,0,531,266,130,388,0,138540
1924,CALIFORNIA,CA,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,105514,733250,424649,R,D,True,13,733250,105514,313869,531,266,130,388,0,1263413
1924,COLORADO,CO,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,75238,195171,69945,R,D,True,6,195171,75238,59967,531,266,130,388,0,340354
1924,CONNECTICUT,CT,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,110184,246322,42416,R,D,True,7,246322,110184,68070,531,266,130,388,0,398922
1924,DELAWARE,DE,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,33445,52441,4979,R,D,True,3,52441,33445,9499,531,266,130,388,0,90865
1924,FLORIDA,FL,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,62083,30633,8625,R,D,False,6,30633,62083,0,531,266,130,388,0,101341
1924,GEORGIA,GA,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,123200,30300,12691,R,D,False,14,30300,123200,0,531,266,130,388,0,166191
1924,IDAHO,ID,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,24256,69879,54160,R,D,True,4,69879,24256,22812,531,266,130,388,0,148295
1924,ILLINOIS,IL,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,576975,1453321,432027,R,D,True,29,1453321,576975,438174,531,266,130,388,0,2462323
1924,INDIANA,IN,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,492245,703042,71700,R,D,True,15,703042,492245,105399,531,266,130,388,0,1266987
1924,IOWA,IA,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,160382,537458,274448,R,D,True,13,537458,160382,188539,531,266,130,388,0,972288
1924,KANSAS,KS,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,156319,407671,98461,R,D,True,10,407671,156319,125677,531,266,130,388,0,662451
1924,KENTUCKY,KY,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,374855,398966,0,R,D,True,13,398966,374855,12056,531,266,130,388,0,773821
1924,LOUISIANA,LA,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,93218,24670,0,R,D,False,10,24670,93218,0,531,266,130,388,0,117888
1924,MAINE,ME,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,41964,138440,11382,R,D,True,6,138440,41964,48239,531,266,130,388,0,191786
