index,year,state,state_po,totalvotes,D_name,R_name,D_votes,R_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,total_electoral_votes,D_electoral,R_electoral,overall_winner,winner_state
119,1984,KENTUCKY,KY,1361241,"MONDALE, WALTER","REAGAN, RONALD",539539,821702,821702,539539,141082,R,9,538,13,525,R,True
120,1984,LOUISIANA,LA,1688885,"MONDALE, WALTER","REAGAN, RONALD",651586,1037299,1037299,651586,192857,R,10,538,13,525,R,True
121,1984,MAINE,ME,551015,"MONDALE, WALTER","REAGAN, RONALD",214515,336500,336500,214515,60993,R,4,538,13,525,R,True
122,1984,MARYLAND,MD,1667853,"MONDALE, WALTER","REAGAN, RONALD",787935,879918,879918,787935,45992,R,10,538,13,525,R,True
123,1984,MASSACHUSETTS,MA,2550542,"MONDALE, WALTER","REAGAN, RONALD",1239606,1310936,1310936,1239606,35666,R,13,538,13,525,R,True
124,1984,MICHIGAN,MI,3781209,"MONDALE, WALTER","REAGAN, RONALD",1529638,2251571,2251571,1529638,360967,R,20,538,13,525,R,True
125,1984,MINNESOTA,MN,2068967,"MONDALE, WALTER","REAGAN, RONALD",1036364,1032603,1036364,1032603,1881,D,10,538,13,525,R,False
126,1984,MISSISSIPPI,MS,934569,"MONDALE, WALTER","REAGAN, RONALD",352192,582377,582377,352192,115093,R,7,538,13,525,R,True
127,1984,MISSOURI,MO,2122771,"MONDALE, WALTER","REAGAN, RONALD",848583,1274188,1274188,848583,212803,R,11,538,13,525,R,True
128,1984,MONTANA,MT,379192,"MONDALE, WALTER","REAGAN, RONALD",146742,232450,232450,146742,42855,R,4,538,13,525,R,True
129,1984,NEBRASKA,NE,647920,"MONDALE, WALTER","REAGAN, RONALD",187866,460054,460054,187866,136095,R,5,538,13,525,R,True
130,1984,NEVADA,NV,280425,"MONDALE, WALTER","REAGAN, RONALD",91655,188770,188770,91655,48558,R,4,538,13,525,R,True
131,1984,NEW HAMPSHIRE,NH,387397,"MONDALE, WALTER","REAGAN, RONALD",120347,267050,267050,120347,73352,R,4,538,13,525,R,True
132,1984,NEW JERSEY,NJ,3194953,"MONDALE, WALTER","REAGAN, RONALD",1261323,1933630,1933630,1261323,336154,R,16,538,13,525,R,True
